step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,looming_size,gf_spike,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
82,1.6400000000000001,40.19283104251868,40.0,1.4636895052808672e-22,0.14128972835883588,0.0,0.0,174.2751895477765,0.0,82,40.19283104251868,40.0,1.4636895052808672e-22,0.14128972835883588,WANDER,0.55,0,0,0,0,looming_escape
83,1.6600000000000001,40.19556255628965,40.0,1.4753926907070354e-22,0.1365756885486835,0.0,0.0,174.2751895477765,0.0,83,40.19556255628965,40.0,1.4753926907070354e-22,0.1365756885486835,WANDER,0.55,0,0,0,0,looming_escape
84,1.68,40.19819743721847,40.0,1.4865484824243828e-22,0.13174404644094934,0.0,0.0,174.2751895477765,0.0,84,40.19819743721847,40.0,1.4865484824243828e-22,0.13174404644094934,WANDER,0.55,0,0,0,0,looming_escape
85,1.7,40.20079683876656,40.0,1.499786935352613e-22,0.12997007740458857,0.0,0.0,174.2751895477765,0.0,85,40.20079683876656,40.0,1.499786935352613e-22,0.12997007740458857,WANDER,0.55,0,0,0,0,looming_escape
86,1.72,40.20341170150444,40.0,1.5124053438043496e-22,0.1307431368941273,0.0,0.0,174.2751895477765,0.0,86,40.20341170150444,40.0,1.5124053438043496e-22,0.1307431368941273,WANDER,0.55,0,0,0,0,looming_escape
87,1.74,40.206078781909746,40.0,1.5244331598922257e-22,0.1333540202651258,0.0,0.0,174.2751895477765,0.0,87,40.206078781909746,40.0,1.5244331598922257e-22,0.1333540202651258,WANDER,0.55,0,0,0,0,looming_escape
88,1.76,40.20881792767555,40.0,1.5385024904720594e-22,0.1369572882902058,0.0,0.0,174.2751895477765,0.0,88,40.20881792767555,40.0,1.5385024904720594e-22,0.1369572882902058,WANDER,0.55,0,0,0,0,looming_escape
89,1.78,40.211630845410255,40.0,1.5467044768885538e-22,0.14064588673545023,0.0,0.0,174.2751895477765,0.0,89,40.211630845410255,40.0,1.5467044768885538e-22,0.14064588673545023,WANDER,0.55,0,0,0,0,looming_escape
90,1.8,40.214501472547845,40.0,1.5597334839862563e-22,0.14353135687931523,0.0,0.0,174.2751895477765,0.0,90,40.214501472547845,40.0,1.5597334839862563e-22,0.14353135687931523,WANDER,0.55,0,0,0,0,looming_escape
91,1.82,40.21739792118681,40.0,1.5773607771601591e-22,0.14482243194818886,0.0,0.0,174.2751895477765,0.0,91,40.21739792118681,40.0,1.5773607771601591e-22,0.14482243194818886,WANDER,0.55,0,0,0,0,looming_escape
92,1.84,40.22027582037671,40.0,1.588952271824854e-22,0.14389495949536793,0.0,0.0,174.2751895477765,0.0,92,40.22027582037671,40.0,1.588952271824854e-22,0.14389495949536793,WANDER,0.55,0,0,0,0,looming_escape
