trial_id,condition,seed,success,killed,ttf,distance,initial_euclidean,pte,tortuosity,upwind_fidelity,satiety_auc,escapes_count
356,DELTA_JO,30097,1,0,140,336.33,42.37,0.126,8.17,0.2757,0.5485,60
357,DELTA_JO,30098,0,1,143,370.2,48.49,0.131,9.1653,0.331,0.5481,60
358,DELTA_JO,30099,0,0,400,892.63,47.23,0.0529,13.8711,0.1683,0.5457,90
359,DELTA_JO,30100,0,1,133,388.97,45.8,0.1178,12.3837,0.305,0.5482,60
360,DELTA_JO,30101,0,1,84,248.27,50.49,0.2034,8.598,0.4405,0.5485,30
361,DELTA_JO,30102,0,1,84,275.33,48.16,0.1749,9.802,0.4242,0.5485,30
362,DELTA_JO,30103,0,1,131,384.57,47.32,0.1231,22.2388,0.0683,0.5482,60
363,DELTA_JO,30104,0,1,48,155.22,48.17,0.3104,6.834,0.3519,0.5485,30
364,DELTA_JO,30105,0,1,226,635.01,43.77,0.0689,12.6135,-0.0642,0.5474,90
365,DELTA_JO,30106,0,1,47,156.04,51.34,0.329,34.7717,0.2231,0.5485,30
366,DELTA_JO,30107,0,1,82,231.33,44.8,0.1936,5.5387,0.4471,0.5485,30
367,DELTA_JO,30108,1,0,356,766.43,46.67,0.0609,16.6225,0.1597,0.5462,60
368,DELTA_JO,30109,0,1,55,194.56,45.12,0.2319,6.3121,0.0979,0.5485,30
369,DELTA_JO,30110,0,1,50,176.79,49.81,0.2817,4.736,0.0278,0.5485,30
370,DELTA_JO,30111,0,1,50,151.45,48.78,0.3221,23.5047,0.0558,0.5485,30
371,DELTA_JO,30112,0,1,138,363.91,46.78,0.1286,6.8467,0.0455,0.5482,60
372,DELTA_JO,30113,0,1,51,190.83,49.87,0.2613,5.2864,0.1451,0.5485,30
373,DELTA_JO,30114,0,1,47,175.87,48.01,0.273,5.1848,-0.0264,0.5485,30
374,DELTA_JO,30115,0,1,236,613.83,47.03,0.0766,67.9117,0.0785,0.5473,90
375,DELTA_JO,30116,0,1,141,355.02,44.8,0.1262,7.6979,0.3291,0.5481,60
376,DELTA_JO,30117,0,1,153,450.56,48.67,0.108,13.1612,0.2575,0.548,60
377,DELTA_JO,30118,1,0,87,209.74,45.29,0.2159,4.5927,0.32,0.5491,35
378,DELTA_JO,30119,0,0,400,880.61,46.39,0.0527,17.7527,0.0003,0.5457,90
379,DELTA_JO,30120,0,1,243,598.25,44.18,0.0739,12.3137,0.1305,0.5472,90
380,DELTA_JO,30121,0,0,400,645.26,46.9,0.0727,14.9395,-0.029,0.5458,30
381,DELTA_JO,30122,0,1,136,376.59,44.27,0.1175,15.3068,0.0808,0.5482,60
382,DELTA_JO,30123,0,0,400,853.53,48.34,0.0566,12.7709,0.0882,0.5457,60
383,DELTA_JO,30124,1,0,175,370.82,49.41,0.1332,7.5137,0.2841,0.5481,30
384,DELTA_JO,30125,0,1,85,258.75,47.88,0.185,8.2244,0.0829,0.5485,30
385,DELTA_JO,30126,1,0,286,671.32,45.2,0.0673,14.7846,0.0872,0.5469,90
386,DELTA_JO,30127,0,1,81,215.27,45.87,0.2131,5.0795,0.4052,0.5485,30
387,DELTA_JO,30128,0,1,126,331.62,50.2,0.1514,10.1622,0.1413,0.5483,60
388,DELTA_JO,30129,0,1,88,253.98,46.96,0.1849,7.6924,0.4495,0.5485,30
389,DELTA_JO,30130,0,1,92,275.97,45.81,0.166,13.8941,0.3816,0.5485,39
390,DELTA_JO,30131,0,1,45,181.46,45.95,0.2533,5.0536,0.0867,0.5484,30
391,DELTA_JO,30132,0,1,81,235.22,49.05,0.2085,17.1899,0.0383,0.5485,30
392,DELTA_JO,30133,0,1,45,134.78,46.5,0.345,7.8539,0.1343,0.5484,31
393,DELTA_JO,30134,0,1,46,175.96,50.17,0.2851,5.344,0.0266,0.5484,30
394,DELTA_JO,30135,0,1,46,162.49,48.82,0.3004,12.04,0.068,0.5485,30
395,DELTA_JO,30136,0,1,47,135.89,45.96,0.3382,20.0505,0.1039,0.5485,31
396,DELTA_JO,30137,1,0,205,432.65,45.85,0.106,9.4332,0.2053,0.5478,30
397,DELTA_JO,30138,0,1,136,366.87,44.37,0.1209,22.0671,0.008,0.5482,60
398,DELTA_JO,30139,0,1,126,344.59,46.46,0.1348,8.4144,0.1216,0.5483,60
399,DELTA_JO,30140,0,1,125,340.04,47.86,0.1408,16.8629,0.0877,0.5483,60
400,DELTA_JO,30141,0,1,56,155.15,49.99,0.3222,29.8774,0.1835,0.5485,30
401,DELTA_LC4,40042,0,1,10,36.46,45.59,1.0,1.0719,0.9693,0.5454,0
402,DELTA_LC4,40043,0,1,15,40.27,49.71,1.0,14.2426,0.987,0.5467,0
403,DELTA_LC4,40044,0,1,15,46.0,43.9,0.9544,1.101,0.9781,0.5467,0
404,DELTA_LC4,40045,0,1,9,34.52,47.26,1.0,1.0114,0.9959,0.5449,0
405,DELTA_LC4,40046,0,1,15,48.55,48.87,1.0,1.0955,0.999,0.5467,0
406,DELTA_LC4,40047,0,1,10,34.78,49.14,1.0,1.1141,0.9826,0.5454,0
407,DELTA_LC4,40048,0,1,15,53.32,48.66,0.9125,1.0327,0.9505,0.5467,0
408,DELTA_LC4,40049,0,1,10,57.01,46.8,0.821,1.0058,0.9534,0.5454,0
409,DELTA_LC4,40050,0,1,15,34.91,47.89,1.0,2.1631,0.9779,0.5467,0
410,DELTA_LC4,40051,1,0,28,46.28,47.33,1.0,1.009,0.9869,0.5497,0
411,DELTA_LC4,40052,0,1,15,49.57,48.14,0.9711,1.0057,0.9906,0.5686,0
412,DELTA_LC4,40053,0,1,10,40.63,48.39,1.0,1.0686,0.9853,0.5454,0
413,DELTA_LC4,40054,0,1,64,188.83,47.22,0.2501,25.2115,0.5778,0.5486,0
414,DELTA_LC4,40055,0,1,9,53.84,48.28,0.8968,1.0184,0.997,0.5449,0
415,DELTA_LC4,40056,0,1,66,164.98,46.76,0.2834,6.2404,0.6052,0.5486,0
416,DELTA_LC4,40057,0,1,16,33.65,46.51,1.0,1.0493,0.9874,0.5469,0
417,DELTA_LC4,40058,0,1,13,51.63,47.11,0.9124,2.3015,0.9274,0.5463,0
418,DELTA_LC4,40059,0,1,8,20.71,48.45,1.0,1.2265,0.9983,0.5444,0
