step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,gap_width,probing,crossing_success,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
74,1.48,20.170907713099297,10.0,1.4018977384599245e-22,0.12862820738312764,0.0,0.0,3.5,0.0,0.0,74,20.170907713099297,10.0,1.4018977384599245e-22,0.12862820738312764,WANDER,0.55,0,0,0,0,gap_crossing
75,1.5,20.173470741355572,10.0,1.4086607507592543e-22,0.12815141281375725,0.0,0.0,3.5,0.0,0.0,75,20.173470741355572,10.0,1.4086607507592543e-22,0.12815141281375725,WANDER,0.55,0,0,0,0,gap_crossing
76,1.52,20.17606921253946,10.0,1.4151102042572633e-22,0.12992355919428242,0.0,0.0,3.5,0.0,0.0,76,20.17606921253946,10.0,1.4151102042572633e-22,0.12992355919428242,WANDER,0.55,0,0,0,0,gap_crossing
77,1.54,20.178732542395174,10.0,1.4186569392784799e-22,0.13316649278564827,0.0,0.0,3.5,0.0,0.0,77,20.178732542395174,10.0,1.4186569392784799e-22,0.13316649278564827,WANDER,0.55,0,0,0,0,gap_crossing
78,1.56,20.181472499366,10.0,1.422042614230411e-22,0.13699784854121136,0.0,0.0,3.5,0.0,0.0,78,20.181472499366,10.0,1.422042614230411e-22,0.13699784854121136,WANDER,0.55,0,0,0,0,gap_crossing
79,1.58,20.184282679914695,10.0,1.4304829869034175e-22,0.1405090274348558,0.0,0.0,3.5,0.0,0.0,79,20.184282679914695,10.0,1.4304829869034175e-22,0.1405090274348558,WANDER,0.55,0,0,0,0,gap_crossing
80,1.6,20.187139591631595,10.0,1.4385304005960284e-22,0.14284558584494525,0.0,0.0,3.5,0.0,0.0,80,20.187139591631595,10.0,1.4385304005960284e-22,0.14284558584494525,WANDER,0.55,0,0,0,0,gap_crossing
81,1.62,20.190005247951444,10.0,1.451411628296882e-22,0.14328281599242446,0.0,0.0,3.5,0.0,0.0,81,20.190005247951444,10.0,1.451411628296882e-22,0.14328281599242446,WANDER,0.55,0,0,0,0,gap_crossing
82,1.6400000000000001,20.19283104251862,10.0,1.4636895052808672e-22,0.14128972835883588,0.0,0.0,3.5,0.0,0.0,82,20.19283104251862,10.0,1.4636895052808672e-22,0.14128972835883588,WANDER,0.55,0,0,0,0,gap_crossing
83,1.6600000000000001,20.195562556289595,10.0,1.4753926907070354e-22,0.1365756885486835,0.0,0.0,3.5,0.0,0.0,83,20.195562556289595,10.0,1.4753926907070354e-22,0.1365756885486835,WANDER,0.55,0,0,0,0,gap_crossing
84,1.68,20.198197437218415,10.0,1.4865484824243828e-22,0.13174404644094934,0.0,0.0,3.5,0.0,0.0,84,20.198197437218415,10.0,1.4865484824243828e-22,0.13174404644094934,WANDER,0.55,0,0,0,0,gap_crossing
85,1.7,20.200796838766507,10.0,1.499786935352613e-22,0.12997007740458857,0.0,0.0,3.5,0.0,0.0,85,20.200796838766507,10.0,1.499786935352613e-22,0.12997007740458857,WANDER,0.55,0,0,0,0,gap_crossing
86,1.72,20.20341170150439,10.0,1.5124053438043496e-22,0.1307431368941273,0.0,0.0,3.5,0.0,0.0,86,20.20341170150439,10.0,1.5124053438043496e-22,0.1307431368941273,WANDER,0.55,0,0,0,0,gap_crossing
87,1.74,20.206078781909692,10.0,1.5244331598922257e-22,0.1333540202651258,0.0,0.0,3.5,0.0,0.0,87,20.206078781909692,10.0,1.5244331598922257e-22,0.1333540202651258,WANDER,0.55,0,0,0,0,gap_crossing
88,1.76,20.208817927675497,10.0,1.5385024904720594e-22,0.1369572882902058,0.0,0.0,3.5,0.0,0.0,88,20.208817927675497,10.0,1.5385024904720594e-22,0.1369572882902058,WANDER,0.55,0,0,0,0,gap_crossing
89,1.78,20.211630845410205,10.0,1.5467044768885538e-22,0.14064588673545023,0.0,0.0,3.5,0.0,0.0,89,20.211630845410205,10.0,1.5467044768885538e-22,0.14064588673545023,WANDER,0.55,0,0,0,0,gap_crossing
90,1.8,20.21450147254779,10.0,1.5597334839862563e-22,0.14353135687931523,0.0,0.0,3.5,0.0,0.0,90,20.21450147254779,10.0,1.5597334839862563e-22,0.14353135687931523,WANDER,0.55,0,0,0,0,gap_crossing
91,1.82,20.217397921186755,10.0,1.5773607771601591e-22,0.14482243194818886,0.0,0.0,3.5,0.0,0.0,91,20.217397921186755,10.0,1.5773607771601591e-22,0.14482243194818886,WANDER,0.55,0,0,0,0,gap_crossing
92,1.84,20.220275820376663,10.0,1.588952271824854e-22,0.14389495949536793,0.0,0.0,3.5,0.0,0.0,92,20.220275820376663,10.0,1.588952271824854e-22,0.14389495949536793,WANDER,0.55,0,0,0,0,gap_crossing
93,1.86,20.223082757751442,10.0,1.6000022269692483e-22,0.14034686873893562,0.0,0.0,3.5,0.0,0.0,93,20.223082757751442,10.0,1.6000022269692483e-22,0.14034686873893562,WANDER,0.55,0,0,0,0,gap_crossing
94,1.8800000000000001,20.225763422648456,10.0,1.6105363657205557e-22,0.13403324485074064,0.0,0.0,3.5,0.0,0.0,94,20.225763422648456,10.0,1.6105363657205557e-22,0.13403324485074064,WANDER,0.55,0,0,0,0,gap_crossing
95,1.9000000000000001,20.2283819254305,10.0,1.620579189357448e-22,0.13092513910218537,0.0,0.0,3.5,0.0,0.0,95,20.2283819254305,10.0,1.620579189357448e-22,0.13092513910218537,WANDER,0.55,0,0,0,0,gap_crossing
96,1.92,20.230994320859434,10.0,1.6301540353478602e-22,0.13061977144671214,0.0,0.0,3.5,0.0,0.0,96,20.230994320859434,10.0,1.6301540353478602e-22,0.13061977144671214,WANDER,0.55,0,0,0,0,gap_crossing
97,1.94,20.23364410900301,10.0,1.6392831326299996e-22,0.1324894071788307,0.0,0.0,3.5,0.0,0.0,97,20.23364410900301,10.0,1.6392831326299996e-22,0.1324894071788307,WANDER,0.55,0,0,0,0,gap_crossing
98,1.96,20.236358918840505,10.0,1.6505917079860442e-22,0.13574049187478696,0.0,0.0,3.5,0.0,0.0,98,20.236358918840505,10.0,1.6505917079860442e-22,0.13574049187478696,WANDER,0.55,0,0,0,0,gap_crossing
99,1.98,20.23914859045895,10.0,1.658768403209089e-22,0.1394835809222088,0.0,0.0,3.5,0.0,0.0,99,20.23914859045895,10.0,1.658768403209089e-22,0.1394835809222088,WANDER,0.55,0,0,0,0,gap_crossing
100,2.0,20.242004829240734,10.0,1.6665657618853111e-22,0.14281193908922218,0.0,0.0,3.5,0.0,0.0,100,20.242004829240734,10.0,1.6665657618853111e-22,0.14281193908922218,WANDER,0.55,0,0,0,0,gap_crossing
101,2.02,20.24490246423468,10.0,1.6740018025006848e-22,0.1448817496973644,0.0,0.0,3.5,0.0,0.0,101,20.24490246423468,10.0,1.6740018025006848e-22,0.1448817496973644,WANDER,0.55,0,0,0,0,gap_crossing
102,2.04,20.247802198805704,10.0,1.6784896339445657e-22,0.14498672855117603,0.0,0.0,3.5,0.0,0.0,102,20.247802198805704,10.0,1.6784896339445657e-22,0.14498672855117603,WANDER,0.55,0,0,0,0,gap_crossing
103,2.06,20.250654607611917,10.0,1.6775649679953902e-22,0.14262044031061966,0.0,0.0,3.5,0.0,0.0,103,20.250654607611917,10.0,1.6775649679953902e-22,0.14262044031061966,WANDER,0.55,0,0,0,0,gap_crossing
104,2.08,20.253405021998844,10.0,1.6792965105575824e-22,0.13752071934636106,0.0,0.0,3.5,0.0,0.0,104,20.253405021998844,10.0,1.6792965105575824e-22,0.13752071934636106,WANDER,0.55,0,0,0,0,gap_crossing
105,2.1,20.2560644693953,10.0,1.6783502587284582e-22,0.13297236982292313,0.0,0.0,3.5,0.0,0.0,105,20.2560644693953,10.0,1.6783502587284582e-22,0.13297236982292313,WANDER,0.55,0,0,0,0,gap_crossing
106,2.12,20.258693263566407,10.0,1.6748531333029299e-22,0.13143970855518755,0.0,0.0,3.5,0.0,0.0,106,20.258693263566407,10.0,1.6748531333029299e-22,0.13143970855518755,WANDER,0.55,0,0,0,0,gap_crossing
107,2.14,20.26134101054799,10.0,1.6715300800566865e-22,0.1323873490791308,0.0,0.0,3.5,0.0,0.0,107,20.26134101054799,10.0,1.6715300800566865e-22,0.1323873490791308,WANDER,0.55,0,0,0,0,gap_crossing
108,2.16,20.264042760044077,10.0,1.6683728305612122e-22,0.1350874748043018,0.0,0.0,3.5,0.0,0.0,108,20.264042760044077,10.0,1.6683728305612122e-22,0.1350874748043018,WANDER,0.55,0,0,0,0,gap_crossing
109,2.18,20.2668164366349,10.0,1.66797756285688e-22,0.13868382954122227,0.0,0.0,3.5,0.0,0.0,109,20.2668164366349,10.0,1.66797756285688e-22,0.13868382954122227,WANDER,0.55,0,0,0,0,gap_crossing
110,2.2,20.26966178268347,10.0,1.6676093035287509e-22,0.14226730242853255,0.0,0.0,3.5,0.0,0.0,110,20.26966178268347,10.0,1.6676093035287509e-22,0.14226730242853255,WANDER,0.55,0,0,0,0,gap_crossing
