step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,hs_rate,drum_vel,saccade_shunt,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
53,1.06,45.11533393114265,45.0,1.2291202982852303e-22,0.12165971325088959,0.0,0.0,76.0,30.0,0.0,53,45.11533393114265,45.0,1.2291202982852303e-22,0.12165971325088959,WANDER,0.55,0,0,0,0,optomotor
54,1.08,45.11775824705804,45.0,1.2465373137893438e-22,0.1212157957695753,0.0,0.0,76.0,30.0,0.0,54,45.11775824705804,45.0,1.2465373137893438e-22,0.1212157957695753,WANDER,0.55,0,0,0,0,optomotor
55,1.1,45.12021990869775,45.0,1.2631349797785843e-22,0.12308308198546487,0.0,0.0,76.0,30.0,0.0,55,45.12021990869775,45.0,1.2631349797785843e-22,0.12308308198546487,WANDER,0.55,0,0,0,0,optomotor
56,1.12,45.12274991066272,45.0,1.2763481616363736e-22,0.12650009824854488,0.0,0.0,76.0,30.0,0.0,56,45.12274991066272,45.0,1.2763481616363736e-22,0.12650009824854488,WANDER,0.55,0,0,0,0,optomotor
57,1.1400000000000001,45.12536176938255,45.0,1.2889414016388156e-22,0.1305929359915646,0.0,0.0,76.0,30.0,0.0,57,45.12536176938255,45.0,1.2889414016388156e-22,0.1305929359915646,WANDER,0.55,0,0,0,0,optomotor
58,1.16,45.12805081979847,45.0,1.2983400933055044e-22,0.13445252079593317,0.0,0.0,76.0,30.0,0.0,58,45.12805081979847,45.0,1.2983400933055044e-22,0.13445252079593317,WANDER,0.55,0,0,0,0,optomotor
59,1.18,45.13079512166329,45.0,1.3099038106807827e-22,0.13721509324116593,0.0,0.0,76.0,30.0,0.0,59,45.13079512166329,45.0,1.3099038106807827e-22,0.13721509324116593,WANDER,0.55,0,0,0,0,optomotor
60,1.2,45.13355789511182,45.0,1.3209259357636328e-22,0.1381386724265947,0.0,0.0,76.0,30.0,0.0,60,45.13355789511182,45.0,1.3209259357636328e-22,0.1381386724265947,WANDER,0.55,0,0,0,0,optomotor
61,1.22,45.13629126778971,45.0,1.3262240867508757e-22,0.136668633894506,0.0,0.0,76.0,30.0,0.0,61,45.13629126778971,45.0,1.3262240867508757e-22,0.136668633894506,WANDER,0.55,0,0,0,0,optomotor
62,1.24,45.138940998014654,45.0,1.333881764690307e-22,0.13248651124710067,0.0,0.0,76.0,30.0,0.0,62,45.138940998014654,45.0,1.333881764690307e-22,0.13248651124710067,WANDER,0.55,0,0,0,0,optomotor
63,1.26,45.141491229999154,45.0,1.3411831127718377e-22,0.1275115992251165,0.0,0.0,76.0,30.0,0.0,63,45.141491229999154,45.0,1.3411831127718377e-22,0.1275115992251165,WANDER,0.55,0,0,0,0,optomotor
64,1.28,45.14400376760703,45.0,1.3455410029451838e-22,0.12562688039405667,0.0,0.0,76.0,30.0,0.0,64,45.14400376760703,45.0,1.3455410029451838e-22,0.12562688039405667,WANDER,0.55,0,0,0,0,optomotor
