step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,drum_angle,laser_active,yaw_torque,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
76,1.52,40.17606921253952,40.0,1.4151102042572633e-22,0.12992355919428242,0.0,0.0,0.0,0.0,3.3815061496648496e-23,76,40.17606921253952,40.0,1.4151102042572633e-22,0.12992355919428242,WANDER,0.55,0,0,0,0,visual_operant
77,1.54,40.17873254239523,40.0,1.4186569392784799e-22,0.13316649278564827,0.0,0.0,0.0,0.0,3.224726749004515e-23,77,40.17873254239523,40.0,1.4186569392784799e-22,0.13316649278564827,WANDER,0.55,0,0,0,0,visual_operant
78,1.56,40.18147249936605,40.0,1.422042614230411e-22,0.13699784854121136,0.0,0.0,0.0,0.0,1.773367510608231e-23,78,40.18147249936605,40.0,1.422042614230411e-22,0.13699784854121136,WANDER,0.55,0,0,0,0,visual_operant
79,1.58,40.18428267991475,40.0,1.4304829869034175e-22,0.1405090274348558,0.0,0.0,0.0,0.0,1.6928374759656304e-23,79,40.18428267991475,40.0,1.4304829869034175e-22,0.1405090274348558,WANDER,0.55,0,0,0,0,visual_operant
80,1.6,40.18713959163165,40.0,1.4385304005960284e-22,0.14284558584494525,0.0,0.0,0.0,0.0,4.220186336503183e-23,80,40.18713959163165,40.0,1.4385304005960284e-22,0.14284558584494525,WANDER,0.55,0,0,0,0,visual_operant
81,1.62,40.1900052479515,40.0,1.451411628296882e-22,0.14328281599242446,0.0,0.0,0.0,0.0,4.0237068463054827e-23,81,40.1900052479515,40.0,1.451411628296882e-22,0.14328281599242446,WANDER,0.55,0,0,0,0,visual_operant
82,1.6400000000000001,40.19283104251868,40.0,1.4636895052808672e-22,0.14128972835883588,0.0,0.0,0.0,0.0,6.440613850426802e-23,82,40.19283104251868,40.0,1.4636895052808672e-22,0.14128972835883588,WANDER,0.55,0,0,0,0,visual_operant
83,1.6600000000000001,40.19556255628965,40.0,1.4753926907070354e-22,0.1365756885486835,0.0,0.0,0.0,0.0,6.138938491992641e-23,83,40.19556255628965,40.0,1.4753926907070354e-22,0.1365756885486835,WANDER,0.55,0,0,0,0,visual_operant
84,1.68,40.19819743721847,40.0,1.4865484824243828e-22,0.13174404644094934,0.0,0.0,0.0,0.0,5.851592713084101e-23,84,40.19819743721847,40.0,1.4865484824243828e-22,0.13174404644094934,WANDER,0.55,0,0,0,0,visual_operant
85,1.7,40.20079683876656,40.0,1.499786935352613e-22,0.12997007740458857,0.0,0.0,0.0,0.0,5.577895858673718e-23,85,40.20079683876656,40.0,1.499786935352613e-22,0.12997007740458857,WANDER,0.55,0,0,0,0,visual_operant
86,1.72,40.20341170150444,40.0,1.5124053438043496e-22,0.1307431368941273,0.0,0.0,0.0,0.0,6.619226464115143e-23,86,40.20341170150444,40.0,1.5124053438043496e-22,0.1307431368941273,WANDER,0.55,0,0,0,0,visual_operant
87,1.74,40.206078781909746,40.0,1.5244331598922257e-22,0.1333540202651258,0.0,0.0,0.0,0.0,6.30920422586824e-23,87,40.206078781909746,40.0,1.5244331598922257e-22,0.1333540202651258,WANDER,0.55,0,0,0,0,visual_operant
88,1.76,40.20881792767555,40.0,1.5385024904720594e-22,0.1369572882902058,0.0,0.0,0.0,0.0,6.013908043938064e-23,88,40.20881792767555,40.0,1.5385024904720594e-22,0.1369572882902058,WANDER,0.55,0,0,0,0,visual_operant
89,1.78,40.211630845410255,40.0,1.5467044768885538e-22,0.14064588673545023,0.0,0.0,0.0,0.0,7.034665289916887e-23,89,40.211630845410255,40.0,1.5467044768885538e-22,0.14064588673545023,WANDER,0.55,0,0,0,0,visual_operant
90,1.8,40.214501472547845,40.0,1.5597334839862563e-22,0.14353135687931523,0.0,0.0,0.0,0.0,4.100993208247227e-23,90,40.214501472547845,40.0,1.5597334839862563e-22,0.14353135687931523,WANDER,0.55,0,0,0,0,visual_operant
91,1.82,40.21739792118681,40.0,1.5773607771601591e-22,0.14482243194818886,0.0,0.0,0.0,0.0,6.514503548851225e-23,91,40.21739792118681,40.0,1.5773607771601591e-22,0.14482243194818886,WANDER,0.55,0,0,0,0,visual_operant
92,1.84,40.22027582037671,40.0,1.588952271824854e-22,0.14389495949536793,0.0,0.0,0.0,0.0,8.813646586951442e-23,92,40.22027582037671,40.0,1.588952271824854e-22,0.14389495949536793,WANDER,0.55,0,0,0,0,visual_operant
93,1.86,40.22308275775149,40.0,1.6000022269692483e-22,0.14034686873893562,0.0,0.0,0.0,0.0,5.795747332347551e-23,93,40.22308275775149,40.0,1.6000022269692483e-22,0.14034686873893562,WANDER,0.55,0,0,0,0,visual_operant
94,1.8800000000000001,40.225763422648505,40.0,1.6105363657205557e-22,0.13403324485074064,0.0,0.0,0.0,0.0,5.524977572197064e-23,94,40.225763422648505,40.0,1.6105363657205557e-22,0.13403324485074064,WANDER,0.55,0,0,0,0,visual_operant
95,1.9000000000000001,40.22838192543055,40.0,1.620579189357448e-22,0.13092513910218537,0.0,0.0,0.0,0.0,5.267069375653725e-23,95,40.22838192543055,40.0,1.620579189357448e-22,0.13092513910218537,WANDER,0.55,0,0,0,0,visual_operant
96,1.92,40.23099432085948,40.0,1.6301540353478602e-22,0.13061977144671214,0.0,0.0,0.0,0.0,5.0214118184461945e-23,96,40.23099432085948,40.0,1.6301540353478602e-22,0.13061977144671214,WANDER,0.55,0,0,0,0,visual_operant
97,1.94,40.23364410900306,40.0,1.6392831326299996e-22,0.1324894071788307,0.0,0.0,0.0,0.0,4.7874229952060214e-23,97,40.23364410900306,40.0,1.6392831326299996e-22,0.1324894071788307,WANDER,0.55,0,0,0,0,visual_operant
98,1.96,40.23635891884055,40.0,1.6505917079860442e-22,0.13574049187478696,0.0,0.0,0.0,0.0,4.564548641069757e-23,98,40.23635891884055,40.0,1.6505917079860442e-22,0.13574049187478696,WANDER,0.55,0,0,0,0,visual_operant
99,1.98,40.239148590458996,40.0,1.658768403209089e-22,0.1394835809222088,0.0,0.0,0.0,0.0,5.654287678022279e-23,99,40.239148590458996,40.0,1.658768403209089e-22,0.1394835809222088,WANDER,0.55,0,0,0,0,visual_operant
100,2.0,40.24200482924078,40.0,1.6665657618853111e-22,0.14281193908922218,0.0,0.0,0.0,0.0,4.088347611522383e-23,100,40.24200482924078,40.0,1.6665657618853111e-22,0.14281193908922218,WANDER,0.55,0,0,0,0,visual_operant
101,2.02,40.24490246423473,40.0,1.6740018025006848e-22,0.1448817496973644,0.0,0.0,0.0,0.0,3.898679338111091e-23,101,40.24490246423473,40.0,1.6740018025006848e-22,0.1448817496973644,WANDER,0.55,0,0,0,0,visual_operant
102,2.04,40.24780219880575,40.0,1.6784896339445657e-22,0.14498672855117603,0.0,0.0,0.0,0.0,3.718020307686836e-23,102,40.24780219880575,40.0,1.6784896339445657e-22,0.14498672855117603,WANDER,0.55,0,0,0,0,visual_operant
