step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,is_lights_on,beam_crossed,is_sleeping,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
84,1.68,15.198197437218449,5.0,1.4865484824243828e-22,0.13174404644094934,0.0,0.0,1.0,0.0,1.0,84,15.198197437218449,5.0,1.4865484824243828e-22,0.13174404644094934,WANDER,0.55,0,0,0,0,circadian_dam
85,1.7,15.200796838766541,5.0,1.499786935352613e-22,0.12997007740458857,0.0,0.0,1.0,0.0,1.0,85,15.200796838766541,5.0,1.499786935352613e-22,0.12997007740458857,WANDER,0.55,0,0,0,0,circadian_dam
86,1.72,15.203411701504423,5.0,1.5124053438043496e-22,0.1307431368941273,0.0,0.0,1.0,0.0,1.0,86,15.203411701504423,5.0,1.5124053438043496e-22,0.1307431368941273,WANDER,0.55,0,0,0,0,circadian_dam
87,1.74,15.206078781909726,5.0,1.5244331598922257e-22,0.1333540202651258,0.0,0.0,1.0,0.0,1.0,87,15.206078781909726,5.0,1.5244331598922257e-22,0.1333540202651258,WANDER,0.55,0,0,0,0,circadian_dam
88,1.76,15.20881792767553,5.0,1.5385024904720594e-22,0.1369572882902058,0.0,0.0,1.0,0.0,1.0,88,15.20881792767553,5.0,1.5385024904720594e-22,0.1369572882902058,WANDER,0.55,0,0,0,0,circadian_dam
89,1.78,15.21163084541024,5.0,1.5467044768885538e-22,0.14064588673545023,0.0,0.0,1.0,0.0,1.0,89,15.21163084541024,5.0,1.5467044768885538e-22,0.14064588673545023,WANDER,0.55,0,0,0,0,circadian_dam
90,1.8,15.214501472547825,5.0,1.5597334839862563e-22,0.14353135687931523,0.0,0.0,1.0,0.0,1.0,90,15.214501472547825,5.0,1.5597334839862563e-22,0.14353135687931523,WANDER,0.55,0,0,0,0,circadian_dam
91,1.82,15.21739792118679,5.0,1.5773607771601591e-22,0.14482243194818886,0.0,0.0,1.0,0.0,1.0,91,15.21739792118679,5.0,1.5773607771601591e-22,0.14482243194818886,WANDER,0.55,0,0,0,0,circadian_dam
92,1.84,15.220275820376697,5.0,1.588952271824854e-22,0.14389495949536793,0.0,0.0,1.0,0.0,1.0,92,15.220275820376697,5.0,1.588952271824854e-22,0.14389495949536793,WANDER,0.55,0,0,0,0,circadian_dam
93,1.86,15.223082757751476,5.0,1.6000022269692483e-22,0.14034686873893562,0.0,0.0,1.0,0.0,1.0,93,15.223082757751476,5.0,1.6000022269692483e-22,0.14034686873893562,WANDER,0.55,0,0,0,0,circadian_dam
94,1.8800000000000001,15.225763422648491,5.0,1.6105363657205557e-22,0.13403324485074064,0.0,0.0,1.0,0.0,1.0,94,15.225763422648491,5.0,1.6105363657205557e-22,0.13403324485074064,WANDER,0.55,0,0,0,0,circadian_dam
